STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PATENT_AUTHORITIES,,FREQ,,MEASURE,,UNIT_MEASURE,,DATE_TYPE,,REF_AREA,,PARTNER_AREA,,AGENT_ROLE,,COOPERATION_TYPE,,WIPO,,OECD_TECHNOLOGY_PATENT,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,DECIMALS,,UNIT_MULT,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,TTO,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,GTM,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,JAM,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,JOR,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,YUG_F,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,VEN,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,ECU,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,ZWE,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,MKD,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_OECDSPECIFIC(1.0),,I,9P50_2,,A,,PF,,PATN_FM,,PRIORITY,,PRI,,_Z,,INVENTOR,,_Z,,_Z,,_T,,2020,,0,,A,,1,,0,
